NORTHEAST REGION FISH BYCATCH BY FISHERY 4,,,,,,
First Edition Update 2: 2012 Data,,,,,,
COMMON NAME,SCIENTIFIC NAME,YEAR,BYCATCH,UNIT,CV,FOOTNOTE(S)
Atlantic salmon,Salmo salar,2012,                   0.00,POUND,,c
Atlantic surfclam,Spisula solidissima,2012,                 169.90,POUND,.8396,
Atlantic wolffish,Anarhichas lupus,2012,                   0.00,POUND,,d
Black sea bass,Centropristis striata,2012,"               7,012.98",POUND,.1873,
Bluefish,Pomatomus saltatrix,2012,                   0.00,POUND,,
Butterfish,Peprilus triacanthus,2012,                  43.96,POUND,.5799,
Goosefish,Lophius americanus,2012,"             865,674.17",POUND,.0905,"e, f"
Haddock,Melanogrammus aeglefinus,2012,                   0.00,POUND,,g
Longfin inshore squid,Loligo pealeii,2012,"               3,835.05",POUND,.3299,h
Northern shortfin squid,Illex illecebrosus,2012,                  55.66,POUND,.4905,i
Ocean pout,Zoarces americanus,2012,                  53.10,POUND,.3907,
Ocean quahog,Arctica islandica,2012,"               4,289.49",POUND,.5439,
Offshore hake,Merluccius albidus,2012,                   0.00,POUND,,
Pollock,Pollachius virens,2012,                   0.00,POUND,,
Red deepsea crab,Chaceon quinquedens,2012,                   0.00,POUND,,j
Red hake,Urophycis chuss,2012,"               4,783.96",POUND,.3383,k
Scup,Stenotomus chrysops,2012,"               1,220.59",POUND,.2667,
Sea scallop,Placopecten magellanicus,2012,"           3,503,718.65",POUND,.1293,l
Silver hake,Merluccius bilinearis,2012,"               3,949.82",POUND,.2021,m
Skate Complex,Rajidae,2012,"           1,576,222.20",POUND,.0824,n
Spiny dogfish,Squalus acanthias,2012,"             345,805.09",POUND,.1573,
Summer flounder,Paralichthys dentatus,2012,"             302,117.76",POUND,.0851,
Tilefish,Lopholatilus chamaeleonticeps,2012,                   0.00,POUND,,
White hake,Urophycis tenuis,2012,                  12.98,POUND,1.0225,
Windowpane,Scophthalmus aquosus,2012,"               7,325.42",POUND,.5933,"p, q"
Winter flounder,Pseudopleuronectes americanus,2012,                 627.76,POUND,.6097,r
Witch flounder,Glyptocephalus cynoglossus,2012,"               7,688.69",POUND,.1847,
Yellowtail flounder,Limanda ferruginea,2012,"               1,668.08",POUND,.1944,s
TOTAL FISHERY BYCATCH,,,"           6,636,494.58",POUND,,
TOTAL FISHERY LANDINGS,,,"          77,974,028.16",POUND,,
TOTAL CATCH (Bycatch + Landings),,,"          84,610,522.74",POUND,,
FISHERY BYCATCH RATIO (Bycatch/Total Catch),,,  0.08,,,
Mid-Atlantic Limited Access Open Area Scallop Dredge,,,,,,
